城市名稱,開始時間,結束時間,12小時降雨機率,平均溫度,平均相對濕度,最小舒適度指數,最大風速,最高體感溫度,天氣現象,最大舒適度指數,最低溫度,紫外線指數,天氣預報綜合描述,最低體感溫度,最高溫度,風向,平均露點溫度
新竹縣,2024-06-19 00:00:00,2024-06-19 06:00:00,20,30,86,26,6,36,多雲,30,26,9,多雲。降雨機率 20%。溫度攝氏26至32度。舒適至悶熱。西南風 風速4級(每秒6公尺)。相對濕度86%。,30,32,西南風,28
金門縣,2024-06-19 00:00:00,2024-06-19 06:00:00,20,29,91,26,5,35,多雲,30,26,9,多雲。降雨機率 20%。溫度攝氏26至31度。舒適至悶熱。西南風 風速3級(每秒5公尺)。相對濕度91%。,30,31,西南風,28
苗栗縣,2024-06-19 00:00:00,2024-06-19 06:00:00,20,30,82,25,6,36,多雲時陰,30,26,9,多雲時陰。降雨機率 20%。溫度攝氏26至32度。舒適至悶熱。西南風 風速4級(每秒6公尺)。相對濕度82%。,29,32,西南風,27
新北市,2024-06-19 00:00:00,2024-06-19 06:00:00,60,31,79,26,4,40,多雲午後短暫雷陣雨,31,27,8,多雲午後短暫雷陣雨。降雨機率 60%。溫度攝氏27至34度。舒適至易中暑。西南風 風速3級(每秒4公尺)。相對濕度79%。,31,34,西南風,27
宜蘭縣,2024-06-19 00:00:00,2024-06-19 06:00:00,90,30,86,25,3,37,多雲午後短暫雷陣雨,30,25,9,多雲午後短暫雷陣雨。降雨機率 90%。溫度攝氏25至32度。舒適至悶熱。偏東風 風速2級(每秒3公尺)。相對濕度86%。,30,32,偏東風,27
雲林縣,2024-06-19 00:00:00,2024-06-19 06:00:00,30,31,77,25,5,38,多雲午後短暫雷陣雨,31,26,9,多雲午後短暫雷陣雨。降雨機率 30%。溫度攝氏26至34度。舒適至易中暑。西南風 風速3級(每秒5公尺)。相對濕度77%。,31,34,西南風,27
臺南市,2024-06-19 00:00:00,2024-06-19 06:00:00,20,31,81,27,5,37,多雲,30,28,10,多雲。降雨機率 20%。溫度攝氏28至33度。悶熱。偏南風 風速3級(每秒5公尺)。相對濕度81%。,32,33,偏南風,27
高雄市,2024-06-19 00:00:00,2024-06-19 06:00:00,20,31,77,27,4,37,多雲,30,28,10,多雲。降雨機率 20%。溫度攝氏28至33度。悶熱。偏南風 風速3級(每秒4公尺)。相對濕度77%。,32,33,偏南風,27
彰化縣,2024-06-19 00:00:00,2024-06-19 06:00:00,20,32,79,26,6,38,多雲時陰,31,27,8,多雲時陰。降雨機率 20%。溫度攝氏27至34度。舒適至易中暑。西南風 風速4級(每秒6公尺)。相對濕度79%。,31,34,西南風,27
臺北市,2024-06-19 00:00:00,2024-06-19 06:00:00,70,32,78,26,3,41,多雲午後短暫雷陣雨,31,27,8,多雲午後短暫雷陣雨。降雨機率 70%。溫度攝氏27至35度。舒適至易中暑。東南風 風速2級(每秒3公尺)。相對濕度78%。,31,35,東南風,27
南投縣,2024-06-19 00:00:00,2024-06-19 06:00:00,30,31,78,25,5,38,多雲午後短暫雷陣雨,30,26,9,多雲午後短暫雷陣雨。降雨機率 30%。溫度攝氏26至34度。舒適至悶熱。偏南風 風速3級(每秒5公尺)。相對濕度78%。,30,34,偏南風,27
澎湖縣,2024-06-19 00:00:00,2024-06-19 06:00:00,20,31,87,27,4,37,多雲,30,28,11,多雲。降雨機率 20%。溫度攝氏28至32度。悶熱。偏南風 風速3級(每秒4公尺)。相對濕度87%。,32,32,偏南風,28
基隆市,2024-06-19 00:00:00,2024-06-19 06:00:00,60,30,86,26,4,38,多雲午後短暫雷陣雨,30,26,7,多雲午後短暫雷陣雨。降雨機率 60%。溫度攝氏26至32度。舒適至悶熱。東北風 風速3級(每秒4公尺)。相對濕度86%。,31,32,東北風,28
桃園市,2024-06-19 00:00:00,2024-06-19 06:00:00,50,31,81,25,4,40,多雲午後短暫雷陣雨,31,26,8,多雲午後短暫雷陣雨。降雨機率 50%。溫度攝氏26至34度。舒適至易中暑。西南風 風速3級(每秒4公尺)。相對濕度81%。,31,34,西南風,28
花蓮縣,2024-06-19 00:00:00,2024-06-19 06:00:00,80,30,86,25,3,38,多雲午後短暫雷陣雨,30,26,10,多雲午後短暫雷陣雨。降雨機率 80%。溫度攝氏26至32度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度86%。,30,32,偏北風,28
連江縣,2024-06-19 00:00:00,2024-06-19 06:00:00,30,27,93,23,8,34,多雲短暫陣雨或雷雨,28,23,9,多雲短暫陣雨或雷雨。降雨機率 30%。溫度攝氏23至29度。舒適至悶熱。偏南風 風速4級(每秒8公尺)。相對濕度93%。,27,29,偏南風,26
臺東縣,2024-06-19 00:00:00,2024-06-19 06:00:00,20,31,77,26,4,37,多雲,30,27,11,多雲。降雨機率 20%。溫度攝氏27至33度。舒適至悶熱。偏南風 風速3級(每秒4公尺)。相對濕度77%。,31,33,偏南風,27
嘉義市,2024-06-19 00:00:00,2024-06-19 06:00:00,30,31,80,26,5,38,多雲午後短暫雷陣雨,31,26,10,多雲午後短暫雷陣雨。降雨機率 30%。溫度攝氏26至34度。舒適至易中暑。偏南風 風速3級(每秒5公尺)。相對濕度80%。,30,34,偏南風,27
嘉義縣,2024-06-19 00:00:00,2024-06-19 06:00:00,20,32,80,26,5,38,多雲,31,27,10,多雲。降雨機率 20%。溫度攝氏27至34度。舒適至易中暑。偏南風 風速3級(每秒5公尺)。相對濕度80%。,31,34,偏南風,28
屏東縣,2024-06-19 00:00:00,2024-06-19 06:00:00,20,31,79,26,4,38,多雲時陰,31,26,11,多雲時陰。降雨機率 20%。溫度攝氏26至34度。舒適至易中暑。偏南風 風速3級(每秒4公尺)。相對濕度79%。,31,34,偏南風,27
臺中市,2024-06-19 00:00:00,2024-06-19 06:00:00,20,31,76,26,5,38,陰時多雲,30,27,8,陰時多雲。降雨機率 20%。溫度攝氏27至33度。舒適至悶熱。西南風 風速3級(每秒5公尺)。相對濕度76%。,31,33,西南風,27
新竹市,2024-06-19 00:00:00,2024-06-19 06:00:00,20,30,87,26,6,35,多雲,30,26,9,多雲。降雨機率 20%。溫度攝氏26至32度。舒適至悶熱。西南風 風速4級(每秒6公尺)。相對濕度87%。,29,32,西南風,28
