locationName,CITY,CITY_SN,TOWN,TOWN_SN
福山,新北市,06,烏來區,061
安平,臺南市,04,安平區,276
七塊厝,臺東縣,22,東河鄉,264
福隆,新北市,06,貢寮區,027
小奇萊,南投縣,13,仁愛鄉,122
大林,嘉義縣,17,大林鎮,202
玉里,花蓮縣,21,玉里鎮,221
嘉義市東區,嘉義市,09,東區,217
龜山島,宜蘭縣,07,頭城鎮,051
火燒寮,新北市,06,平溪區,029
斗六,雲林縣,16,斗六市,355
魚池,南投縣,13,魚池鄉,164
向陽,臺東縣,22,海端鄉,240
竹田,屏東縣,20,竹田鄉,322
白沙灣,新北市,06,石門區,001
明德,苗栗縣,11,頭屋鄉,094
下營,臺南市,04,下營區,242
萬丹,屏東縣,20,萬丹鄉,327
三峽,新北市,06,三峽區,057
桃源谷,宜蘭縣,07,頭城鎮,051
大城,彰化縣,14,大城鄉,169
大里,臺中市,02,大里區,141
西屯,臺中市,02,西屯區,125
鹿野,臺東縣,22,鹿野鄉,274
太保,嘉義縣,17,太保市,218
學甲,臺南市,04,學甲區,239
新園,屏東縣,20,新園鄉,333
虎頭埤,臺南市,04,新化區,267
石岡,臺中市,02,石岡區,116
枋山,屏東縣,20,枋山鄉,346
滿州,屏東縣,20,滿州鄉,348
墾雷,屏東縣,20,恆春鎮,350
楊梅,桃園市,08,楊梅區,056
檳榔四格山,臺東縣,22,卑南鄉,289
六腳,嘉義縣,17,六腳鄉,214
斗南,雲林縣,16,斗南鎮,193
臺南市北區,臺南市,04,北區,357
棋山,雲林縣,16,古坑鄉,196
三地門,屏東縣,20,內埔鄉,310
太麻里,臺東縣,22,太麻里鄉,312
大礁溪,宜蘭縣,07,礁溪鄉,065
山佳,新北市,06,樹林區,046
官田,臺南市,04,官田區,248
阿公店,高雄市,05,燕巢區,296
西德山,宜蘭縣,07,南澳鄉,093
溪州,彰化縣,14,溪州鄉,174
奇萊稜線A,南投縣,13,仁愛鄉,122
土庫,雲林縣,16,土庫鎮,189
大坪頂,屏東縣,20,恆春鎮,350
月眉山,花蓮縣,21,壽豐鄉,161
平等,臺北市,01,士林區,007
將軍,臺南市,04,將軍區,245
永安,高雄市,05,永安區,293
草屯,南投縣,13,草屯鎮,152
奮起湖,嘉義縣,17,竹崎鄉,215
屏東,屏東縣,20,屏東市,309
國姓,南投縣,13,國姓鄉,139
石碇,新北市,06,石碇區,040
三和,新北市,06,金山區,003
豐原,臺中市,02,豐原區,117
大屯山,臺北市,01,北投區,006
五股,新北市,06,五股區,017
靜浦,花蓮縣,21,豐濱鄉,188
香蘭,臺東縣,22,太麻里鄉,312
褒忠,雲林縣,16,褒忠鄉,191
卓溪,花蓮縣,21,卓溪鄉,207
東華,花蓮縣,21,壽豐鄉,161
太平山,宜蘭縣,07,大同鄉,081
都歷,臺東縣,22,成功鎮,258
旗津,高雄市,05,旗津區,329
南投服務區,南投縣,13,南投市,160
溪埔,高雄市,05,大樹區,300
西嶼,澎湖縣,23,西嶼鄉,200
高樹,屏東縣,20,高樹鄉,290
嘉義梅山,嘉義縣,17,梅山鄉,210
延平,臺東縣,22,延平鄉,280
桃山A,臺中市,02,和平區,104
卓蘭,苗栗縣,11,卓蘭鎮,109
曾文,臺南市,04,楠西區,246
崁頂,屏東縣,20,崁頂鄉,334
二水,彰化縣,14,二水鄉,177
春日,屏東縣,20,春日鄉,343
鶯子嶺,宜蘭縣,07,頭城鎮,051
大內,臺南市,04,大內區,252
車城,屏東縣,20,車城鄉,349
勝林山,臺東縣,22,達仁鄉,337
臺南市南區,臺南市,04,南區,281
美濃,高雄市,05,美濃區,282
芬園,彰化縣,14,芬園鄉,148
鶯歌,新北市,06,鶯歌區,054
北寮,臺南市,04,南化區,244
紅石,臺東縣,22,海端鄉,240
八德,桃園市,08,八德區,052
大坑,臺中市,02,北屯區,124
大漢山,屏東縣,20,春日鄉,343
水上,嘉義縣,17,水上鄉,223
鼓山,高雄市,05,鼓山區,316
瑞穗,花蓮縣,21,瑞穗鄉,209
南澳,宜蘭縣,07,南澳鄉,093
富源,花蓮縣,21,光復鄉,194
鹿港,彰化縣,14,鹿港鎮,140
左鎮,臺南市,04,左鎮區,266
內城,宜蘭縣,07,員山鄉,074
和平,花蓮縣,21,秀林鄉,108
保力,屏東縣,20,車城鄉,349
大園,桃園市,08,大園區,019
楠梓,高雄市,05,楠梓區,305
五指山,新北市,06,汐止區,014
潮州,屏東縣,20,潮州鎮,332
和平林道,花蓮縣,21,秀林鄉,108
集集,南投縣,13,集集鎮,176
明里,花蓮縣,21,富里鄉,241
富世,花蓮縣,21,秀林鄉,108
大溪永福,桃園市,08,大溪區,060
梅花,新竹縣,10,尖石鄉,077
龜山,桃園市,08,龜山區,034
西港,臺南市,04,西港區,256
苓雅,高雄市,05,苓雅區,323
北斗,彰化縣,14,北斗鎮,171
關山,臺東縣,22,關山鎮,262
天祥,花蓮縣,21,秀林鄉,108
神岡,臺中市,02,神岡區,114
平鎮,桃園市,08,平鎮區,055
舊泰武,屏東縣,20,泰武鄉,318
清水林道,花蓮縣,21,卓溪鄉,207
草嶺,雲林縣,16,古坑鄉,196
東後寮,嘉義縣,17,義竹鄉,229
坪林,新北市,06,坪林區,053
獅潭,苗栗縣,11,獅潭鄉,095
大埤,雲林縣,16,大埤鄉,199
高鐵彰化,彰化縣,14,田中鎮,170
水試所臺西,雲林縣,16,臺西鄉,187
赤柯山,花蓮縣,21,玉里鎮,221
南湖圈谷A,臺中市,02,和平區,104
仁武,高雄市,05,仁武區,306
南仁湖,屏東縣,20,滿州鄉,348
南屯,臺中市,02,南屯區,129
屈尺,新北市,06,新店區,050
阿蓮,高雄市,05,阿蓮區,287
九棚,屏東縣,20,牡丹鄉,347
新埤,屏東縣,20,新埤鄉,336
后里,臺中市,02,后里區,111
鼻頭角,新北市,06,瑞芳區,018
烏日,臺中市,02,烏日區,137
達邦,嘉義縣,17,阿里山鄉,208
芳苑,彰化縣,14,芳苑鄉,149
林邊,屏東縣,20,林邊鄉,340
王爺宮,臺南市,04,六甲區,243
雙溪,新北市,06,雙溪區,024
瑞芳,新北市,06,瑞芳區,018
加路蘭山,花蓮縣,21,豐濱鄉,188
琉球嶼,屏東縣,20,琉球鄉,345
新市,臺南市,04,新市區,263
豐濱,花蓮縣,21,豐濱鄉,188
橋頭,高雄市,05,橋頭區,299
中和,新北市,06,中和區,048
麟洛,屏東縣,20,麟洛鄉,317
善化,臺南市,04,善化區,255
三芝,新北市,06,三芝區,002
三民,高雄市,05,三民區,314
汐止,新北市,06,汐止區,014
佳里,臺南市,04,佳里區,250
花壇,彰化縣,14,花壇鄉,146
梅峰,南投縣,13,仁愛鄉,122
龍磐,屏東縣,20,恆春鎮,350
大坪,新北市,06,萬里區,005
羅東,宜蘭縣,07,羅東鎮,086
加津林,臺東縣,22,大武鄉,342
月眉,高雄市,05,杉林區,269
昆陽,南投縣,13,仁愛鄉,122
大安,臺中市,02,大安區,107
福山植物園,新北市,06,烏來區,061
金寧,金門縣,99,金寧鄉,999
大肚,臺中市,02,大肚區,127
新美,嘉義縣,17,阿里山鄉,208
北港,雲林縣,16,北港鎮,203
瑪家,屏東縣,20,瑪家鄉,308
六龜,高雄市,05,六龜區,259
長濱,臺東縣,22,長濱鄉,227
金峰嘉蘭,臺東縣,22,金峰鄉,352
湖內,高雄市,05,湖內區,285
深坑,新北市,06,深坑區,044
崙背,雲林縣,16,崙背鄉,181
牡丹池山,屏東縣,20,牡丹鄉,347
名間,南投縣,13,名間鄉,173
馬頭山,嘉義縣,17,大埔鄉,233
雪山東峰A,臺中市,02,和平區,104
埔心,彰化縣,14,埔心鄉,158
玉蘭,宜蘭縣,07,大同鄉,081
新竹市東區,新竹市,15,東區,070
後龍,苗栗縣,11,後龍鎮,091
東引,連江縣,99,東引鄉,999
吉安光華,花蓮縣,21,吉安鄉,154
南田,臺東縣,22,達仁鄉,337
神木村,南投縣,13,信義鄉,175
東里,花蓮縣,21,富里鄉,241
二林,彰化縣,14,二林鎮,155
大寮,高雄市,05,大寮區,320
歷坵,臺東縣,22,太麻里鄉,312
蘭嶼高中,臺東縣,22,蘭嶼鄉,351
桃園,桃園市,08,桃園區,042
林園,高雄市,05,林園區,335
樟樹山,宜蘭縣,07,南澳鄉,093
龍潭,桃園市,08,龍潭區,062
蔦松,雲林縣,16,水林鄉,204
貓鼻頭,屏東縣,20,恆春鎮,350
水璉,花蓮縣,21,壽豐鄉,161
關西,新竹縣,10,關西鎮,068
南庄,苗栗縣,11,南庄鄉,092
媽廟,臺南市,04,歸仁區,271
元長,雲林縣,16,元長鄉,197
後壁,臺南市,04,後壁區,230
新莊,新北市,06,新莊區,033
山上,臺南市,04,山上區,260
大甲,臺中市,02,大甲區,105
廬山,南投縣,13,仁愛鄉,122
赤山,屏東縣,20,萬巒鄉,319
竹南,苗栗縣,11,竹南鎮,079
烏坵,金門縣,99,烏坵鄉,999
南投,南投縣,13,南投市,160
內湖,臺北市,01,內湖區,021
中竹林,臺中市,02,太平區,130
安南,臺南市,04,安南區,265
民雄,嘉義縣,17,民雄鄉,213
松山,臺北市,01,松山區,031
甲仙,高雄市,05,甲仙區,251
坪林石牌,宜蘭縣,07,頭城鎮,051
池上,臺東縣,22,池上鄉,257
金山,新北市,06,金山區,003
富貴角,新北市,06,石門區,001
鯉魚潭,花蓮縣,21,壽豐鄉,161
玉井,臺南市,04,玉井區,254
石牌,臺北市,01,北投區,006
烏石坑,臺中市,02,和平區,104
復興,桃園市,08,復興區,067
大湖,苗栗縣,11,大湖鄉,103
和中,花蓮縣,21,秀林鄉,108
仁愛,南投縣,13,仁愛鄉,122
基隆嶼,基隆市,03,中正區,011
三星,宜蘭縣,07,三星鄉,084
埔鹽,彰化縣,14,埔鹽鄉,151
林口,新北市,06,林口區,016
鳳林,花蓮縣,21,鳳林鎮,184
佳冬,屏東縣,20,佳冬鄉,341
埔里,南投縣,13,埔里鎮,147
大溪山,臺東縣,22,太麻里鄉,312
鹽水,臺南市,04,鹽水區,234
七堵,基隆市,03,七堵區,012
九如,屏東縣,20,九如鄉,302
鳳山,高雄市,05,鳳山區,321
瑞和,臺東縣,22,鹿野鄉,274
德武,花蓮縣,21,玉里鎮,221
舞鶴,花蓮縣,21,瑞穗鄉,209
茂林蝶谷,高雄市,05,茂林區,278
富里,花蓮縣,21,富里鄉,241
丹路,屏東縣,20,獅子鄉,344
林內,雲林縣,16,林內鄉,186
旭海,屏東縣,20,牡丹鄉,347
彌陀,高雄市,05,彌陀區,298
高士,屏東縣,20,牡丹鄉,347
合歡山,南投縣,13,仁愛鄉,122
五結,宜蘭縣,07,五結鄉,082
東澳,宜蘭縣,07,南澳鄉,093
北門,臺南市,04,北門區,237
苑裡,苗栗縣,11,苑裡鎮,102
虎尾,雲林縣,16,虎尾鎮,190
溪口,嘉義縣,17,溪口鄉,205
寶山,新竹縣,10,寶山鄉,076
東港,屏東縣,20,東港鎮,339
西湖,苗栗縣,11,西湖鄉,097
埤頭,彰化縣,14,埤頭鄉,165
竹塘,彰化縣,14,竹塘鄉,172
蕃薯寮,花蓮縣,21,壽豐鄉,161
白嶺,宜蘭縣,07,大同鄉,081
信義,南投縣,13,信義鄉,175
土場,宜蘭縣,07,大同鄉,081
土城,新北市,06,土城區,049
線西,彰化縣,14,線西鄉,133
下馬,臺東縣,22,海端鄉,240
中埔,嘉義縣,17,中埔鄉,224
枋寮,屏東縣,20,枋寮鄉,358
鴛鴦湖,宜蘭縣,07,大同鄉,081
大社,高雄市,05,大社區,304
頭份,苗栗縣,11,頭份市,999
左營,高雄市,05,左營區,311
天母,臺北市,01,士林區,007
七股,臺南市,04,七股區,253
四湖,雲林縣,16,四湖鄉,195
朴子,嘉義縣,17,朴子市,222
蘭嶼燈塔,臺東縣,22,蘭嶼鄉,351
香山,新竹市,15,香山區,069
東石,嘉義縣,17,東石鄉,216
新興,高雄市,05,新興區,324
高鐵苗栗,苗栗縣,11,後龍鎮,091
茶山,嘉義縣,17,阿里山鄉,208
桶後,新北市,06,烏來區,061
金崙,臺東縣,22,太麻里鄉,312
新豐,新竹縣,10,新豐鄉,058
員山,宜蘭縣,07,員山鄉,074
竹崎,嘉義縣,17,竹崎鄉,215
三貂角,新北市,06,貢寮區,027
石寧山,臺東縣,22,長濱鄉,227
新營,臺南市,04,新營區,235
雲林東勢,雲林縣,16,東勢鄉,192
萬榮,花蓮縣,21,鳳林鎮,184
旗山,高雄市,05,旗山區,283
萬山,高雄市,05,茂林區,278
社頭,彰化縣,14,社頭鄉,163
雪山圈谷A,臺中市,02,和平區,104
瑞穗林道,花蓮縣,21,卓溪鄉,207
二崙,雲林縣,16,二崙鄉,180
西林,花蓮縣,21,萬榮鄉,166
新社,臺中市,02,新社區,119
多加屯,宜蘭縣,07,大同鄉,081
表湖,嘉義縣,17,大埔鄉,233
蘆竹,桃園市,08,蘆竹區,020
水里,南投縣,13,水里鄉,168
里佳,嘉義縣,17,阿里山鄉,208
文山,臺北市,01,文山區,356
水試所成功,臺東縣,22,成功鎮,258
金崙山,臺東縣,22,太麻里鄉,312
古坑,雲林縣,16,古坑鄉,196
小林,高雄市,05,甲仙區,251
東河,臺東縣,22,東河鄉,264
南州,屏東縣,20,南州鄉,338
安通山,花蓮縣,21,玉里鎮,221
通霄,苗栗縣,11,通霄鎮,098
橫山,新竹縣,10,橫山鄉,078
西螺,雲林縣,16,西螺鎮,182
新城,花蓮縣,21,新城鄉,136
八里,新北市,06,八里區,009
番路,嘉義縣,17,番路鄉,220
鳳森,高雄市,05,小港區,330
檳榔,屏東縣,20,滿州鄉,348
馬都安,苗栗縣,11,泰安鄉,101
清水斷崖,花蓮縣,21,秀林鄉,108
知本,臺東縣,22,卑南鄉,289
鳳林山,花蓮縣,21,鳳林鎮,184
雙連埤,宜蘭縣,07,員山鄉,074
苗栗,苗栗縣,11,苗栗市,096
內獅,屏東縣,20,獅子鄉,344
溪湖,彰化縣,14,溪湖鎮,157
金沙,金門縣,99,金沙鎮,999
南山,宜蘭縣,07,大同鄉,081
墾丁,屏東縣,20,恆春鎮,350
安定,臺南市,04,安定區,261
佳心,花蓮縣,21,卓溪鄉,207
鳳凰,南投縣,13,鹿谷鄉,183
關子嶺,臺南市,04,白河區,228
山豬窟,臺東縣,22,大武鄉,342
大河,苗栗縣,11,三灣鄉,088
水源,花蓮縣,21,秀林鄉,108
員林,彰化縣,14,員林市,156
高鐵雲林,雲林縣,16,虎尾鎮,190
東河,臺南市,04,東山區,236
信義,臺北市,01,信義區,038
東莒,連江縣,99,莒光鄉,999
楓港,屏東縣,20,枋山鄉,346
麻豆,臺南市,04,麻豆區,247
尾寮山,屏東縣,20,三地門鄉,291
獅子,屏東縣,20,獅子鄉,344
中壢,桃園市,08,中壢區,043
花嶼,澎湖縣,23,望安鄉,231
龍井,臺中市,02,龍井區,115
岡山,高雄市,05,岡山區,294
觀音,桃園市,08,觀音區,032
新港,嘉義縣,17,新港鄉,211
五分山,新北市,06,瑞芳區,018
關廟,臺南市,04,關廟區,272
宜梧,雲林縣,16,口湖鄉,201
打鐵坑,新竹縣,10,新埔鎮,063
中坑,臺中市,02,和平區,104
頭城,宜蘭縣,07,頭城鎮,051
西帽山,宜蘭縣,07,南澳鄉,093
柳營,臺南市,04,柳營區,238
光復,花蓮縣,21,光復鄉,194
土阪,臺東縣,22,達仁鄉,337
銅鑼,苗栗縣,11,銅鑼鄉,100
外埔,臺中市,02,外埔區,110
大雅(中科園區),臺中市,02,大雅區,121
審馬陣A,臺中市,02,和平區,104
綠島,臺東縣,22,綠島鄉,315
大禹嶺,花蓮縣,21,秀林鄉,108
路竹,高雄市,05,路竹區,288
臺西,雲林縣,16,臺西鄉,187
鹿草,嘉義縣,17,鹿草鄉,226
內門,高雄市,05,內門區,270
水林,雲林縣,16,水林鄉,204
湖口,新竹縣,10,湖口鄉,059
茄萣,高雄市,05,茄萣區,286
冬山,宜蘭縣,07,冬山鄉,087
礁溪,宜蘭縣,07,礁溪鄉,065
田尾,彰化縣,14,田尾鄉,167
里港,屏東縣,20,里港鄉,295
士林,臺北市,01,士林區,007
長治,屏東縣,20,長治鄉,307
鹿寮,臺南市,04,白河區,228
大福,宜蘭縣,07,壯圍鄉,072
達仁林場,臺東縣,22,達仁鄉,337
四林格山,屏東縣,20,牡丹鄉,347
牡丹,屏東縣,20,牡丹鄉,347
布袋,嘉義縣,17,布袋鎮,225
竹山,南投縣,13,竹山鎮,178
古亭坑,高雄市,05,田寮區,284
國一五楊N44K,桃園市,08,龜山區,034
四堵,新北市,06,坪林區,053
鹽埔,屏東縣,20,鹽埔鄉,301
知本(水試所),臺東縣,22,臺東市,297
中寮,南投縣,13,中寮鄉,159
崎頂,臺南市,04,龍崎區,273
三義,苗栗縣,11,三義鄉,106
永和,新北市,06,永和區,045
白鷺,屏東縣,20,來義鄉,331
佳樂水,屏東縣,20,滿州鄉,348
白河,臺南市,04,白河區,228
峨眉,新竹縣,10,峨眉鄉,083
蘆洲,新北市,06,蘆洲區,023
來義,屏東縣,20,萬巒鄉,319
三重,新北市,06,三重區,025
翠峰湖,宜蘭縣,07,大同鄉,081
大坑,花蓮縣,21,壽豐鄉,161
雪霸,新竹縣,10,五峰鄉,089
大溪,桃園市,08,大溪區,060
